datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,102.3,102.45,100.61,102.24,8337902,0
2021-09-29 17:00:00,102.26,102.66,101.3,102.45,9557480,0
2021-09-29 18:00:00,102.46,102.5,100.33,100.62,7490069,0
2021-09-29 19:00:00,100.61,100.79,99.81,100.37,6117962,0
2021-09-29 20:00:00,100.36,100.94,100.09,100.73,4252051,0
2021-09-29 21:00:00,100.73,101.35,100.68,101.33,4338474,0
2021-09-29 22:00:00,101.33,101.45,100.1,100.34,4956468,0
2021-09-29 23:00:00,100.34,100.35,100.34,100.35,1099184,0
2021-09-30 16:00:00,102.08,104.44,101.99,103.81,10844769,2
2021-09-30 17:00:00,103.81,104.25,102.78,103.16,11334982,1
2021-09-30 18:00:00,103.15,104.2,102.7,103.08,7528972,5
2021-09-30 19:00:00,103.08,103.75,102.89,103.47,4818004,0
2021-09-30 20:00:00,103.46,103.8,103.12,103.6,3516134,3
2021-09-30 21:00:00,103.61,104.37,103.54,103.84,4888419,3
2021-09-30 22:00:00,103.84,104.21,102.81,102.9,6231837,-1
2021-09-30 23:00:00,102.9,102.91,102.87,102.9,1402736,12
2021-10-01 16:00:00,102.6,103.0,101.17,101.7,6001088,8
2021-10-01 17:00:00,101.73,101.84,100.64,101.33,6875582,4
2021-10-01 18:00:00,101.32,102.03,100.73,102.02,5056625,3
2021-10-01 19:00:00,102.03,102.17,101.27,101.43,4059502,-2
2021-10-01 20:00:00,101.44,102.02,101.31,101.74,3007758,2
2021-10-01 21:00:00,101.75,102.52,101.75,102.35,3531324,1
2021-10-01 22:00:00,102.36,102.73,102.32,102.5,5032460,1
2021-10-01 23:00:00,102.5,102.51,102.42,102.45,1680432,-2
2021-10-04 16:00:00,101.74,101.85,99.82,100.53,5942791,-2
2021-10-04 17:00:00,100.52,101.2,100.11,100.67,8067995,6
2021-10-04 18:00:00,100.63,101.07,100.11,100.56,4488055,-2
2021-10-04 19:00:00,100.56,100.84,99.99,100.1,3393532,3
2021-10-04 20:00:00,100.1,100.5,99.95,99.98,3460244,-3
2021-10-04 21:00:00,99.98,100.43,99.88,100.23,3537956,-6
