datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,449.87,453.83,448.9,453.79,172752,0
2021-09-29 17:00:00,453.74,456.0,452.67,455.54,170726,0
2021-09-29 18:00:00,455.68,455.85,453.86,454.29,82904,0
2021-09-29 19:00:00,454.38,454.38,452.43,452.84,83316,0
2021-09-29 20:00:00,452.77,452.88,451.23,451.66,89719,0
2021-09-29 21:00:00,451.64,454.62,451.64,454.49,91340,0
2021-09-29 22:00:00,454.56,454.68,451.17,451.8,221611,0
2021-09-29 23:00:00,451.78,451.79,451.78,451.79,284746,0
2021-09-30 16:00:00,453.62,455.36,452.25,454.1,100365,2
2021-09-30 17:00:00,453.85,454.62,451.72,453.15,111165,1
2021-09-30 18:00:00,453.01,454.27,450.48,451.66,82255,5
2021-09-30 19:00:00,451.58,451.78,449.3,450.05,100241,0
2021-09-30 20:00:00,450.09,451.66,449.92,451.62,67607,3
2021-09-30 21:00:00,451.62,454.0,451.54,452.65,93308,3
2021-09-30 22:00:00,452.68,453.83,449.33,449.43,206780,-1
2021-09-30 23:00:00,449.33,449.53,449.33,449.35,361635,12
2021-10-01 16:00:00,449.73,449.89,444.4,445.16,130431,8
2021-10-01 17:00:00,445.36,445.43,440.76,443.61,197335,4
2021-10-01 18:00:00,443.45,446.1,442.4,446.1,91535,3
2021-10-01 19:00:00,446.32,447.77,445.69,446.14,67784,-2
2021-10-01 20:00:00,446.17,448.82,445.93,448.43,85077,2
2021-10-01 21:00:00,448.55,450.71,448.17,450.64,79087,1
2021-10-01 22:00:00,450.55,451.08,447.61,448.27,200995,1
2021-10-01 23:00:00,448.33,448.33,448.33,448.33,193397,-2
2021-10-04 16:00:00,448.34,449.35,443.09,444.46,130184,-2
2021-10-04 17:00:00,444.45,445.0,437.27,437.75,250348,6
2021-10-04 18:00:00,437.69,438.6,436.17,438.1,112573,-2
2021-10-04 19:00:00,438.21,438.6,436.97,437.61,79576,3
2021-10-04 20:00:00,437.83,439.09,437.35,438.59,83071,-3
2021-10-04 21:00:00,438.58,440.4,438.39,439.85,67766,-6
2021-10-04 22:00:00,439.82,441.22,438.26,440.25,217123,-2
2021-10-04 23:00:00,440.24,440.24,440.14,440.14,247009,-4
2021-10-05 16:00:00,439.58,444.17,439.25,443.87,114311,-6
2021-10-05 17:00:00,444.0,446.55,443.82,446.44,110881,-5
2021-10-05 18:00:00,446.57,448.87,446.08,448.12,84326,6
2021-10-05 19:00:00,447.98,449.11,445.86,446.28,172531,1
2021-10-05 20:00:00,446.24,447.77,445.88,447.51,50571,0
2021-10-05 21:00:00,447.51,448.12,446.9,447.82,46888,-2
2021-10-05 22:00:00,447.7,448.28,446.01,446.04,157287,0
2021-10-05 23:00:00,446.25,446.25,446.24,446.24,209928,0
2021-10-06 16:00:00,443.93,445.45,442.61,443.65,89829,-7
2021-10-06 17:00:00,443.79,446.5,442.38,445.1,90791,-2
2021-10-06 18:00:00,444.94,445.07,442.96,445.05,74137,4
2021-10-06 19:00:00,445.07,445.13,443.4,444.05,23229,1
2021-10-06 20:00:00,444.0,447.19,443.0,446.35,54113,5
2021-10-06 21:00:00,446.58,448.42,445.91,447.56,51909,4
2021-10-06 22:00:00,447.83,449.78,446.92,449.33,134177,-2
2021-10-06 23:00:00,449.31,449.34,449.31,449.34,177185,3
2021-10-07 16:00:00,456.47,459.11,455.4,458.95,248211,5
2021-10-07 17:00:00,459.0,459.59,457.01,458.67,174080,-2
2021-10-07 18:00:00,458.63,458.74,456.44,457.03,93820,3
2021-10-07 19:00:00,457.08,458.89,456.2,458.83,89720,-4
2021-10-07 20:00:00,458.75,458.79,456.18,456.59,89447,4
2021-10-07 21:00:00,456.51,456.66,453.74,453.81,78615,-1
2021-10-07 22:00:00,453.73,454.74,452.07,452.78,187682,4
2021-10-07 23:00:00,452.8,452.87,452.8,452.87,195695,2
2021-10-08 16:00:00,455.44,455.75,452.33,453.46,90271,0
2021-10-08 17:00:00,453.72,454.85,450.25,450.25,99892,0
2021-10-08 18:00:00,450.43,452.26,450.0,450.88,56756,4
2021-10-08 19:00:00,450.62,451.84,450.21,451.22,50639,-3
2021-10-08 20:00:00,451.16,452.37,450.4,452.27,45109,4
2021-10-08 21:00:00,452.44,453.54,452.4,452.83,50821,1
2021-10-08 22:00:00,452.91,453.57,450.97,451.67,164209,-3
2021-10-08 23:00:00,451.68,451.85,451.68,451.85,231539,-1
2021-10-11 16:00:00,450.04,453.69,449.59,452.5,71130,3
2021-10-11 17:00:00,452.69,453.5,451.81,452.18,61417,0
2021-10-11 18:00:00,452.27,453.03,451.96,452.32,58401,0
2021-10-11 19:00:00,452.41,452.41,450.6,451.64,40058,1
2021-10-11 20:00:00,451.54,451.98,450.63,451.17,31797,-2
2021-10-11 21:00:00,451.06,452.29,450.9,451.99,37217,0
2021-10-11 22:00:00,451.91,452.07,449.54,449.55,81686,3
2021-10-11 23:00:00,449.58,449.7,449.58,449.7,118894,-2
2021-10-12 16:00:00,450.15,451.62,448.56,450.66,53792,0
2021-10-12 17:00:00,450.64,451.56,450.0,450.27,39945,9
2021-10-12 18:00:00,450.15,452.55,450.15,452.49,45837,5
2021-10-12 19:00:00,452.58,452.85,449.8,449.94,76045,-1
2021-10-12 20:00:00,449.97,450.27,449.42,449.67,57366,2
2021-10-12 21:00:00,449.57,450.89,448.02,448.19,107629,-2
2021-10-12 22:00:00,448.28,448.55,445.75,446.88,226699,-2
2021-10-12 23:00:00,446.87,446.87,446.87,446.87,121791,1
2021-10-13 16:00:00,448.54,450.51,445.25,445.59,68238,0
2021-10-13 17:00:00,445.86,446.44,444.07,444.09,118744,1
2021-10-13 18:00:00,444.24,445.64,444.11,445.64,131222,6
2021-10-13 19:00:00,445.49,446.45,445.37,446.13,46802,2
2021-10-13 20:00:00,446.0,447.4,445.96,446.73,73983,6
2021-10-13 21:00:00,446.67,447.81,445.01,445.41,96406,-6
2021-10-13 22:00:00,445.4,446.04,444.85,445.42,251121,-1
2021-10-13 23:00:00,445.3,445.3,445.3,445.3,201581,0
2021-10-14 16:00:00,447.11,448.81,446.5,446.8,80568,-1
