datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,174.25,174.52,172.8,173.66,681917,0
2021-09-29 17:00:00,173.7,174.96,173.61,174.91,541312,0
2021-09-29 18:00:00,174.9,174.91,173.24,173.81,494552,0
2021-09-29 19:00:00,173.86,174.12,173.12,173.62,393240,0
2021-09-29 20:00:00,173.63,173.94,173.16,173.63,444751,0
2021-09-29 21:00:00,173.6,174.27,173.51,173.9,329106,0
2021-09-29 22:00:00,173.92,174.02,172.59,172.72,948357,0
2021-09-29 23:00:00,172.74,172.74,172.67,172.68,641689,0
2021-09-30 16:00:00,173.1,173.68,172.27,172.56,500513,2
2021-09-30 17:00:00,172.56,172.95,170.95,170.98,954586,1
2021-09-30 18:00:00,170.94,171.79,170.17,170.51,1226607,5
2021-09-30 19:00:00,170.51,170.6,169.51,170.32,1396403,0
2021-09-30 20:00:00,170.33,170.69,170.01,170.58,1634399,3
2021-09-30 21:00:00,170.57,171.39,170.32,170.68,1325051,3
2021-09-30 22:00:00,170.7,171.11,169.1,169.1,1909865,-1
2021-09-30 23:00:00,169.1,169.2,169.1,169.17,1269721,12
2021-10-01 16:00:00,172.28,173.85,171.97,173.24,1273491,8
2021-10-01 17:00:00,173.25,174.04,172.5,173.67,1047126,4
2021-10-01 18:00:00,173.66,175.69,173.65,175.06,1437314,3
2021-10-01 19:00:00,175.07,175.93,174.82,175.79,998075,-2
2021-10-01 20:00:00,175.8,177.06,175.56,176.8,918778,2
2021-10-01 21:00:00,176.83,177.14,176.56,177.05,733430,1
2021-10-01 22:00:00,177.07,177.32,175.82,176.01,1606879,1
2021-10-01 23:00:00,176.11,176.15,176.01,176.01,872885,-2
2021-10-04 16:00:00,175.56,175.78,174.02,175.68,853014,-2
2021-10-04 17:00:00,175.66,175.96,173.41,174.14,859805,6
2021-10-04 18:00:00,174.13,174.24,173.03,174.09,630085,-2
2021-10-04 19:00:00,174.08,174.15,173.49,173.67,361431,3
2021-10-04 20:00:00,173.63,173.86,173.16,173.38,354818,-3
2021-10-04 21:00:00,173.37,173.9,172.79,173.68,491202,-6
2021-10-04 22:00:00,173.74,173.87,172.67,173.48,1000202,-2
2021-10-04 23:00:00,173.49,173.49,173.46,173.46,614511,-4
2021-10-05 16:00:00,173.83,175.52,173.61,175.32,583923,-6
2021-10-05 17:00:00,175.33,176.22,174.95,175.76,493699,-5
2021-10-05 18:00:00,175.69,176.04,175.01,175.35,409664,6
2021-10-05 19:00:00,175.34,175.37,174.64,175.3,713685,1
2021-10-05 20:00:00,175.3,175.81,175.19,175.78,352539,0
2021-10-05 21:00:00,175.77,176.08,175.54,175.85,345715,-2
2021-10-05 22:00:00,175.82,176.24,174.54,174.66,1019804,0
2021-10-05 23:00:00,174.65,174.76,174.61,174.61,679479,0
2021-10-06 16:00:00,173.0,173.97,171.8,172.06,617639,-7
2021-10-06 17:00:00,172.05,173.68,171.55,173.22,561961,-2
2021-10-06 18:00:00,173.24,173.86,172.85,173.77,366294,4
2021-10-06 19:00:00,173.8,173.89,172.98,173.74,372485,1
2021-10-06 20:00:00,173.73,174.76,173.21,174.61,354504,5
2021-10-06 21:00:00,174.68,175.71,174.52,175.08,384097,4
2021-10-06 22:00:00,175.05,175.66,174.94,175.5,552317,-2
2021-10-06 23:00:00,175.49,175.6,175.48,175.48,439970,3
2021-10-07 16:00:00,177.7,178.91,177.33,178.89,694619,5
2021-10-07 17:00:00,178.87,179.21,178.27,178.92,615877,-2
2021-10-07 18:00:00,178.96,179.63,178.7,179.24,870445,3
2021-10-07 19:00:00,179.22,179.37,178.43,178.68,315290,-4
2021-10-07 20:00:00,178.66,179.07,178.35,178.67,333790,4
2021-10-07 21:00:00,178.65,178.67,177.92,177.98,319379,-1
2021-10-07 22:00:00,177.97,178.35,177.63,177.74,796338,4
2021-10-07 23:00:00,177.74,177.74,177.7,177.71,1120080,2
2021-10-08 16:00:00,177.93,177.93,176.4,176.85,379222,0
2021-10-08 17:00:00,176.81,177.72,176.81,177.18,374197,0
2021-10-08 18:00:00,177.25,178.6,177.04,177.22,582611,4
2021-10-08 19:00:00,177.19,177.69,177.02,177.54,158237,-3
2021-10-08 20:00:00,177.51,177.67,176.76,176.95,224138,4
2021-10-08 21:00:00,176.97,177.37,176.74,176.74,306959,1
2021-10-08 22:00:00,176.75,177.16,176.54,176.74,486602,-3
2021-10-08 23:00:00,176.73,176.74,176.73,176.74,506594,-1
2021-10-11 16:00:00,176.02,176.14,174.73,175.85,423205,3
2021-10-11 17:00:00,175.88,176.52,175.6,176.28,333589,0
2021-10-11 18:00:00,176.26,176.46,175.65,176.11,374210,0
2021-10-11 19:00:00,176.13,176.22,175.12,175.2,270093,1
2021-10-11 20:00:00,175.17,175.17,173.91,174.15,655442,-2
2021-10-11 21:00:00,174.15,174.59,174.02,174.44,367951,0
2021-10-11 22:00:00,174.44,174.56,173.48,173.5,769687,3
2021-10-11 23:00:00,173.53,173.53,173.52,173.52,641591,-2
2021-10-12 16:00:00,173.62,174.49,172.88,173.33,522091,0
2021-10-12 17:00:00,173.42,174.03,173.12,173.33,390303,9
2021-10-12 18:00:00,173.37,173.75,173.16,173.52,385912,5
2021-10-12 19:00:00,173.57,173.93,173.06,173.15,426806,-1
2021-10-12 20:00:00,173.14,173.2,172.72,172.82,376772,2
2021-10-12 21:00:00,172.81,173.4,172.75,172.93,369542,-2
2021-10-12 22:00:00,172.93,173.34,172.55,173.05,920784,-2
2021-10-12 23:00:00,173.04,173.14,173.04,173.13,450326,1
2021-10-13 16:00:00,173.63,173.7,172.03,172.56,524288,0
2021-10-13 17:00:00,172.42,172.63,171.5,171.7,978664,1
2021-10-13 18:00:00,171.7,171.95,170.94,171.62,958241,6
2021-10-13 19:00:00,171.62,171.79,171.27,171.47,556265,2
2021-10-13 20:00:00,171.47,172.47,171.46,172.26,680827,6
2021-10-13 21:00:00,172.26,173.0,172.18,172.74,602381,-6
2021-10-13 22:00:00,172.73,173.11,172.56,172.98,740976,-1
2021-10-13 23:00:00,172.96,172.96,172.96,172.96,1101148,0
2021-10-14 16:00:00,174.07,175.75,174.0,175.54,567673,-1
2021-10-14 17:00:00,175.58,176.02,174.91,175.44,637586,3
2021-10-14 18:00:00,175.42,175.42,174.64,175.14,344269,2
2021-10-14 19:00:00,175.16,175.28,174.8,174.86,287990,3
2021-10-14 20:00:00,174.88,175.1,174.65,174.81,416360,-1
2021-10-14 21:00:00,174.8,174.85,174.59,174.65,320445,2
2021-10-14 22:00:00,174.66,174.75,174.13,174.39,720549,5
2021-10-14 23:00:00,174.35,174.41,174.35,174.41,1226609,6
2021-10-15 16:00:00,175.69,175.87,174.54,174.83,655940,0
2021-10-15 17:00:00,174.88,175.08,174.22,174.72,568453,6
2021-10-15 18:00:00,174.72,174.88,174.12,174.2,455337,2
2021-10-15 19:00:00,174.21,174.81,174.1,174.8,433042,-4
2021-10-15 20:00:00,174.81,177.31,174.8,176.93,1619946,4
2021-10-15 21:00:00,176.92,178.89,176.14,177.24,4603905,3
2021-10-15 22:00:00,177.24,177.27,176.26,176.47,1289378,-3
2021-10-15 23:00:00,176.48,176.48,176.46,176.46,1029882,-3
2021-10-18 16:00:00,172.36,173.34,171.22,171.55,1767496,-1
2021-10-18 17:00:00,171.52,171.87,170.77,171.31,2074771,-2
2021-10-18 18:00:00,171.31,171.74,171.11,171.36,1830766,0
2021-10-18 19:00:00,171.35,171.41,170.4,170.62,1758270,9
2021-10-18 20:00:00,170.62,170.77,170.26,170.33,1769475,-1
2021-10-18 21:00:00,170.32,170.52,169.8,169.82,2119862,1
