datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,137.1,137.39,136.15,137.01,1247000,0
2021-09-29 17:00:00,136.94,137.26,136.64,137.02,822240,0
2021-09-29 18:00:00,137.04,137.04,135.25,135.76,955620,0
2021-09-29 19:00:00,135.76,135.77,134.75,135.13,1200040,0
2021-09-29 20:00:00,135.07,135.19,134.3,134.69,1526880,0
2021-09-29 21:00:00,134.72,135.5,134.72,135.25,1892180,0
2021-09-29 22:00:00,135.24,135.35,134.25,134.52,2761220,0
2021-09-29 23:00:00,134.52,134.52,134.52,134.52,2189880,0
2021-09-30 16:00:00,134.32,135.59,134.32,135.1,2129620,2
2021-09-30 17:00:00,135.14,135.35,134.58,134.58,1069800,1
2021-09-30 18:00:00,134.55,135.15,134.05,134.48,1565580,5
2021-09-30 19:00:00,134.41,134.46,133.59,133.98,1473740,0
2021-09-30 20:00:00,133.95,134.45,133.84,134.12,1168860,3
2021-09-30 21:00:00,134.13,134.93,134.11,134.43,1222440,3
2021-09-30 22:00:00,134.44,134.85,133.0,133.09,3389560,-1
2021-09-30 23:00:00,133.08,133.26,133.07,133.26,3905600,12
2021-10-01 16:00:00,133.55,134.61,133.54,134.27,1702580,8
2021-10-01 17:00:00,134.02,134.45,133.37,134.45,1278680,4
2021-10-01 18:00:00,134.44,135.78,134.18,135.55,1128840,3
2021-10-01 19:00:00,135.62,135.69,135.17,135.41,755340,-2
2021-10-01 20:00:00,135.36,136.28,135.35,136.01,694560,2
2021-10-01 21:00:00,136.1,136.73,136.07,136.61,1264580,1
2021-10-01 22:00:00,136.65,137.07,136.21,136.21,2946180,1
2021-10-01 23:00:00,136.44,136.46,136.35,136.46,2788380,-2
2021-10-04 16:00:00,135.69,135.69,133.39,133.65,1958020,-2
2021-10-04 17:00:00,133.56,133.68,131.27,131.72,2014120,6
2021-10-04 18:00:00,131.61,132.34,131.16,132.19,1513580,-2
2021-10-04 19:00:00,132.17,132.25,131.45,131.9,855980,3
2021-10-04 20:00:00,131.87,132.99,131.81,132.7,1260740,-3
2021-10-04 21:00:00,132.7,133.65,132.69,133.29,1169420,-6
2021-10-04 22:00:00,133.26,134.99,132.9,133.79,1902320,-2
2021-10-04 23:00:00,133.76,133.76,133.76,133.76,2866700,-4
2021-10-05 16:00:00,134.0,135.16,134.0,134.87,1525140,-6
2021-10-05 17:00:00,134.87,136.1,134.87,136.03,1018860,-5
2021-10-05 18:00:00,136.09,136.27,135.7,136.07,773060,6
2021-10-05 19:00:00,136.11,137.19,136.0,137.05,1787020,1
2021-10-05 20:00:00,137.05,137.36,136.72,137.08,840960,0
2021-10-05 21:00:00,137.11,137.29,136.86,136.87,597380,-2
2021-10-05 22:00:00,136.88,137.25,136.0,136.17,1718740,0
2021-10-05 23:00:00,136.17,136.17,136.17,136.17,1702020,0
2021-10-06 16:00:00,134.62,136.09,134.48,135.4,1486180,-7
2021-10-06 17:00:00,135.34,137.24,134.96,136.69,1459380,-2
2021-10-06 18:00:00,136.78,136.94,136.09,136.82,604840,4
2021-10-06 19:00:00,136.85,136.85,136.1,136.4,452020,1
2021-10-06 20:00:00,136.45,137.4,136.0,137.19,562680,5
2021-10-06 21:00:00,137.22,137.85,137.11,137.19,785440,4
2021-10-06 22:00:00,137.22,137.52,137.02,137.44,1083820,-2
2021-10-06 23:00:00,137.35,137.35,137.35,137.35,1608900,3
2021-10-07 16:00:00,138.86,139.75,138.56,139.6,1328420,5
2021-10-07 17:00:00,139.67,140.15,139.6,140.03,970600,-2
2021-10-07 18:00:00,140.02,140.15,139.77,140.11,483640,3
2021-10-07 19:00:00,140.08,140.1,139.77,140.08,338220,-4
2021-10-07 20:00:00,140.03,140.03,139.77,139.78,410620,4
2021-10-07 21:00:00,139.79,139.83,139.4,139.4,695660,-1
2021-10-07 22:00:00,139.37,139.78,139.07,139.25,1702960,4
2021-10-07 23:00:00,139.25,139.29,139.18,139.18,1908040,2
2021-10-08 16:00:00,139.9,140.31,139.54,139.94,985140,0
2021-10-08 17:00:00,139.9,140.1,139.42,139.74,756640,0
