datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,285.1,286.32,283.14,286.03,2883986,0
2021-09-29 17:00:00,286.02,286.68,283.94,285.2,3034102,0
2021-09-29 18:00:00,285.22,285.25,283.48,284.09,1665203,0
2021-09-29 19:00:00,284.13,284.43,283.01,283.96,1640200,0
2021-09-29 20:00:00,283.98,285.29,283.56,284.81,1862394,0
2021-09-29 21:00:00,284.81,286.77,284.75,286.27,2102589,0
2021-09-29 22:00:00,286.31,286.42,283.32,284.02,3345648,0
2021-09-29 23:00:00,284.02,284.05,284.0,284.0,2245585,0
2021-09-30 16:00:00,285.71,287.36,284.86,286.47,2261062,2
2021-09-30 17:00:00,286.47,287.83,285.86,285.97,2823791,1
2021-09-30 18:00:00,285.97,287.09,283.78,284.17,2838256,5
2021-09-30 19:00:00,284.18,284.27,281.89,282.21,3103880,0
2021-09-30 20:00:00,282.18,283.83,282.02,283.48,1775884,3
2021-09-30 21:00:00,283.47,284.9,283.4,283.69,2075413,3
2021-09-30 22:00:00,283.7,284.8,281.73,281.73,4440691,-1
2021-09-30 23:00:00,281.73,281.92,281.62,281.92,4159368,12
2021-10-01 16:00:00,282.12,284.14,281.29,283.71,2506984,8
2021-10-01 17:00:00,283.72,285.03,282.57,284.97,3205698,4
2021-10-01 18:00:00,284.96,286.87,284.41,286.34,2248986,3
2021-10-01 19:00:00,286.32,286.82,285.79,286.12,1495280,-2
2021-10-01 20:00:00,286.13,287.48,285.75,287.06,1599416,2
2021-10-01 21:00:00,287.08,288.43,286.93,288.33,1715766,1
2021-10-01 22:00:00,288.34,289.98,288.0,289.16,4444551,1
2021-10-01 23:00:00,289.16,289.3,289.02,289.1,3660646,-2
2021-10-04 16:00:00,287.4,287.75,283.55,284.16,2607925,-2
2021-10-04 17:00:00,284.14,284.32,280.4,281.25,3566979,6
2021-10-04 18:00:00,281.22,282.87,280.76,282.3,2726186,-2
2021-10-04 19:00:00,282.27,282.72,280.47,280.92,1815171,3
2021-10-04 20:00:00,280.9,281.72,280.25,281.08,1586518,-3
2021-10-04 21:00:00,281.1,282.9,281.08,282.64,1776003,-6
2021-10-04 22:00:00,282.66,283.54,281.7,283.3,3768795,-2
2021-10-04 23:00:00,283.31,283.31,283.11,283.11,3988624,-4
2021-10-05 16:00:00,284.05,286.07,284.05,285.76,2469943,-6
2021-10-05 17:00:00,285.79,288.06,285.62,287.9,2546251,-5
2021-10-05 18:00:00,287.88,289.2,287.67,289.19,2151786,6
2021-10-05 19:00:00,289.18,289.98,288.81,289.79,1649755,1
2021-10-05 20:00:00,289.82,290.4,289.54,290.17,1370427,0
2021-10-05 21:00:00,290.17,290.25,289.33,289.84,1695208,-2
2021-10-05 22:00:00,289.84,290.15,288.47,288.76,3024121,0
2021-10-05 23:00:00,288.76,288.76,288.75,288.76,3223465,0
2021-10-06 16:00:00,285.78,288.49,285.51,286.94,2277751,-7
2021-10-06 17:00:00,286.93,290.88,285.91,289.85,3451442,-2
2021-10-06 18:00:00,289.87,290.08,288.51,289.81,1714833,4
2021-10-06 19:00:00,289.81,289.83,288.58,289.14,1233188,1
2021-10-06 20:00:00,289.13,291.98,288.46,291.71,2181126,5
2021-10-06 21:00:00,291.72,292.85,291.25,291.9,2215709,4
2021-10-06 22:00:00,291.87,293.63,291.47,293.11,3313368,-2
2021-10-06 23:00:00,293.07,293.11,293.07,293.11,2566711,3
2021-10-07 16:00:00,295.18,296.3,293.92,295.39,2579766,5
2021-10-07 17:00:00,295.41,296.53,295.13,296.37,2326402,-2
2021-10-07 18:00:00,296.38,296.64,295.41,296.37,1585296,3
2021-10-07 19:00:00,296.37,296.56,295.76,296.51,1217230,-4
2021-10-07 20:00:00,296.5,296.53,295.35,295.53,1058015,4
2021-10-07 21:00:00,295.51,295.62,294.62,294.97,1260822,-1
2021-10-07 22:00:00,294.96,295.93,294.51,294.94,2256678,4
2021-10-07 23:00:00,294.93,294.94,294.85,294.85,2412081,2
2021-10-08 16:00:00,296.22,296.64,294.57,295.16,1614507,0
2021-10-08 17:00:00,295.15,296.52,294.86,295.47,1768950,0
2021-10-08 18:00:00,295.52,296.14,294.54,294.81,1216412,4
2021-10-08 19:00:00,294.81,295.45,294.51,294.81,966696,-3
2021-10-08 20:00:00,294.83,294.95,293.76,294.77,1194335,4
2021-10-08 21:00:00,294.76,295.56,294.7,295.28,880119,1
2021-10-08 22:00:00,295.29,295.64,294.09,294.85,1823400,-3
2021-10-08 23:00:00,294.85,294.85,294.84,294.85,2716284,-1
2021-10-11 16:00:00,292.92,296.52,292.75,296.23,1629049,3
2021-10-11 17:00:00,296.23,297.42,296.08,297.14,1704428,0
2021-10-11 18:00:00,297.14,297.97,296.7,296.73,1462095,0
2021-10-11 19:00:00,296.74,296.77,295.84,296.65,1274511,1
2021-10-11 20:00:00,296.66,296.72,295.26,295.85,1267627,-2
2021-10-11 21:00:00,295.86,296.42,295.71,296.18,892056,0
2021-10-11 22:00:00,296.2,296.35,294.1,294.2,1980117,3
2021-10-11 23:00:00,294.2,294.23,294.2,294.23,3146028,-2
2021-10-12 16:00:00,295.34,295.44,292.7,292.99,1628890,0
2021-10-12 17:00:00,293.0,294.16,292.79,292.89,1750877,9
2021-10-12 18:00:00,292.9,294.25,292.9,294.22,1098239,5
