datetime,open,high,low,close,volume,sentiment
2021-09-29 16:00:00,259.93,263.51,259.7,262.83,5948430,0
2021-09-29 17:00:00,262.83,264.5,262.23,263.54,6937515,0
2021-09-29 18:00:00,263.58,263.62,259.6,260.72,6399114,0
2021-09-29 19:00:00,260.79,261.48,256.89,258.33,5889309,0
2021-09-29 20:00:00,258.34,259.58,257.15,258.35,3775977,0
2021-09-29 21:00:00,258.32,261.58,258.13,261.24,5490540,0
2021-09-29 22:00:00,261.22,261.8,259.83,260.43,6434145,0
2021-09-29 23:00:00,260.43,260.43,260.43,260.43,914763,0
2021-09-30 16:00:00,260.33,262.28,258.73,261.26,5954376,2
2021-09-30 17:00:00,261.16,263.04,259.56,260.15,6960090,1
2021-09-30 18:00:00,260.13,262.48,259.44,260.41,5166831,5
2021-09-30 19:00:00,260.43,260.59,259.25,260.05,3289608,0
2021-09-30 20:00:00,260.08,261.88,259.89,261.61,3171864,3
2021-09-30 21:00:00,261.61,263.0,260.36,260.36,4269459,3
2021-09-30 22:00:00,260.44,260.86,258.33,258.33,4918752,-1
2021-09-30 23:00:00,258.4,258.52,258.33,258.48,2020347,12
2021-10-01 16:00:00,259.46,260.26,255.58,256.06,4442613,8
2021-10-01 17:00:00,256.09,257.11,254.53,256.96,6711354,4
2021-10-01 18:00:00,256.95,259.87,256.34,258.57,5122122,3
2021-10-01 19:00:00,258.59,258.71,256.4,256.84,3246210,-2
2021-10-01 20:00:00,256.8,257.73,255.61,255.79,2784750,2
2021-10-01 21:00:00,255.83,258.78,255.75,258.38,3455946,1
2021-10-01 22:00:00,258.45,259.16,257.33,258.39,5198850,1
2021-10-01 23:00:00,258.39,258.4,258.24,258.24,1867560,-2
2021-10-04 16:00:00,265.5,268.18,263.66,268.03,14495682,-2
2021-10-04 17:00:00,268.03,268.99,261.88,264.19,15637182,6
2021-10-04 18:00:00,264.11,264.33,260.89,262.4,6792546,-2
2021-10-04 19:00:00,262.41,262.83,259.75,259.86,4783173,3
2021-10-04 20:00:00,259.81,261.14,258.7,260.75,4995447,-3
2021-10-04 21:00:00,260.69,262.46,260.01,261.08,3889407,-6
2021-10-04 22:00:00,261.16,262.78,259.16,260.55,6437610,-2
2021-10-04 23:00:00,260.56,260.56,260.37,260.51,2304084,-4
2021-10-05 16:00:00,261.59,265.76,260.66,265.06,8073093,-6
2021-10-05 17:00:00,265.08,265.46,262.71,263.67,6840285,-5
2021-10-05 18:00:00,263.69,263.71,259.59,260.4,5065476,6
2021-10-05 19:00:00,260.44,261.33,259.12,259.38,4015230,1
2021-10-05 20:00:00,259.35,260.23,258.06,260.19,3639165,0
2021-10-05 21:00:00,260.2,262.18,259.87,260.94,3609735,-2
2021-10-05 22:00:00,260.94,261.91,260.06,260.2,3699840,0
2021-10-05 23:00:00,260.2,260.2,260.19,260.19,962262,0
2021-10-06 16:00:00,258.73,262.07,258.4,258.81,5789094,-7
2021-10-06 17:00:00,258.8,261.83,257.74,261.51,6642300,-2
2021-10-06 18:00:00,261.5,262.21,259.67,261.69,3603126,4
2021-10-06 19:00:00,261.58,261.71,258.83,259.4,2803185,1
2021-10-06 20:00:00,259.43,261.21,258.68,260.71,2421021,5
2021-10-06 21:00:00,260.73,261.46,260.21,260.54,2339631,4
2021-10-06 22:00:00,260.5,261.11,259.41,260.84,3194031,-2
2021-10-06 23:00:00,260.91,260.91,260.91,260.91,832809,3
2021-10-07 16:00:00,261.82,262.78,261.12,262.36,4913424,5
2021-10-07 17:00:00,262.42,263.28,261.75,262.53,4390431,-2
2021-10-07 18:00:00,262.57,263.2,261.97,262.56,2445114,3
2021-10-07 19:00:00,262.56,262.59,261.81,262.33,1840269,-4
2021-10-07 20:00:00,262.31,262.71,262.02,262.29,1670625,4
2021-10-07 21:00:00,262.27,268.33,262.07,267.9,8262033,-1
2021-10-07 22:00:00,267.95,267.95,264.1,264.51,8776971,4
2021-10-07 23:00:00,264.51,264.53,264.51,264.53,2307060,2
2021-10-08 16:00:00,265.4,265.45,261.06,261.07,6498654,0
2021-10-08 17:00:00,261.09,263.16,260.3,261.25,6731577,0
2021-10-08 18:00:00,261.23,262.45,260.76,260.94,3535455,4
2021-10-08 19:00:00,260.93,263.16,260.63,261.84,3646869,-3
2021-10-08 20:00:00,261.81,262.36,261.27,262.07,1452741,4
2021-10-08 21:00:00,262.16,262.85,261.67,262.46,2206614,1
2021-10-08 22:00:00,262.48,264.54,261.49,261.83,6155061,-3
2021-10-08 23:00:00,261.86,261.86,261.8,261.82,662562,-1
2021-10-11 16:00:00,262.55,266.43,261.83,265.81,5636208,3
2021-10-11 17:00:00,265.82,267.07,263.93,265.33,6194685,0
2021-10-11 18:00:00,265.34,265.6,263.77,264.53,2822430,0
2021-10-11 19:00:00,264.48,265.45,263.94,265.04,2506542,1
2021-10-11 20:00:00,265.08,265.12,263.89,265.12,2104683,-2
2021-10-11 21:00:00,265.13,266.22,264.62,266.16,2715906,0
2021-10-11 22:00:00,266.15,266.48,263.83,263.9,4416207,3
2021-10-11 23:00:00,263.88,263.98,263.88,263.98,577035,-2
2021-10-12 16:00:00,266.97,270.08,265.52,268.61,11501127,0
2021-10-12 17:00:00,268.59,269.79,267.16,268.16,7841736,9
